song,singer,tempo,energy,loudness,danceability,valence,acousticness,happy,angry,sad,relax,mood
Release,Imagine Dragons,138.36,0.396,-11.247,0.379,0.407,0.86,26.66666667,20,35,18.33333333,2
Gold,Imagine Dragons,164.929,0.459,-6.814,0.416,0.286,0.0801,15,0,50,35,2
It Comes Back To You,Imagine Dragons,100.002,0.749,-7.895,0.634,0.49,0.0789,15,49.5,13,22.5,1
Thief,Imagine Dragons,149.952,0.715,-5.75,0.416,0.126,0.00272,0,24,56,20,2
Smoke And Mirrors,Imagine Dragons,109.987,0.636,-7.283,0.601,0.0812,0.0657,0,29.5,8,62.5,3
Hear Me,Imagine Dragons,125.007,0.829,-4.703,0.61,0.498,0.000323,0,42,48,10,2
Cover Up,Imagine Dragons,135.191,0.718,-4.569,0.547,0.156,0.000514,10,49.5,38,2.5,1
Every Night,Imagine Dragons,139.864,0.591,-6.73,0.494,0.432,0.0581,0,10,10,80,3
Round And Round,Imagine Dragons,141.957,0.858,-4.221,0.455,0.479,0.00262,0,20,40,40,2
Underdog,Imagine Dragons,100.024,0.822,-4.566,0.433,0.529,0.00432,0,20,50,30,2
America,Imagine Dragons,113.034,0.543,-7.736,0.567,0.0899,0.00309,10,29.5,28,32.5,3
My Fault,Imagine Dragons,108.51,0.814,-6.226,0.596,0.519,0.113,0,22,48,30,2
The River,Imagine Dragons,96.014,0.907,-7.015,0.483,0.296,0.00183,5,5,20,70,3
Trouble,Imagine Dragons,159.96,0.889,-5.281,0.388,0.327,0.307,0,10,60,30,2
Yellow,Coldplay,173.365,0.661,-7.227,0.429,0.285,0.00239,10,0,20,70,3
Viva La Vida,Coldplay,138.017,0.619,-7.115,0.485,0.416,0.0941,0,10,10,80,3
A Sky Full of Stars,Coldplay,124.996,0.636,-7.125,0.551,0.153,0.00713,0,29.5,28,42.5,3
Hymn for the Weekend,Coldplay,89.974,0.743,-5.155,0.49,0.363,0.255,10,20,30,40,3
Fix You,Coldplay,138.265,0.418,-8.74,0.209,0.123,0.163,20,0,25,55,3
The Scientist,Coldplay,146.448,0.442,-7.224,0.56,0.212,0.727,30,10,30,30,0
Everglow,Coldplay,146.099,0.445,-9.155,0.535,0.136,0.456,10,19.5,48,22.5,2
Paradise,Coldplay,139.627,0.585,-6.762,0.449,0.203,0.0522,0,0,30,70,3
Up&Up,Coldplay,163.987,0.718,-5.461,0.48,0.252,0.0485,10,30,20,40,3
Adventure of a Lifetime,Coldplay,111.995,0.924,-3.887,0.638,0.529,0.00205,5,37,48,10,2
A Head Full of Dreams,Coldplay,111.995,0.924,-3.887,0.638,0.529,0.00205,5,37,48,10,2
Trouble,Coldplay,139.755,0.547,-7.496,0.561,0.19,0.189,0,29.5,41.33333333,29.16666667,2
